ProductName,Version,OEM,SeverityLevel,Vulnerability,MitigationStrategy,PublishedDate,UniqueID
Security Bulletin: NVIDIA GPU Display Driver - February 2020,N/A,NVIDIA,High,"CVE-2020-5957, CVE-2020-5958, CVE-2020-5959, CVE-2020-5960, CVE-2020-5961",https://nvidia.custhelp.com/app/answers/detail/a_id/4996,28 Feb 2020,05 May 2020
Security Bulletin: NVIDIA GPU Display Driver - November 2019,N/A,NVIDIA,High,"CVE-2019-5690, CVE-2019-2019-5691, CVE-2019-5692, CVE-2019-5693, CVE-2019-5694, CVE-2019-5695, CVE-2019-5696, CVE-2019-5697, CVE-2019-5698",https://nvidia.custhelp.com/app/answers/detail/a_id/4907,06 Nov 2019,07 Jan 2020
Security Bulletin: NVIDIA GeForce Experience - December 2019,N/A,NVIDIA,High,CVE-2019-5702,https://nvidia.custhelp.com/app/answers/detail/a_id/4954,23 Dec 2019,23 Dec 2019
"Security Bulletin: Jetson AGX Xavier, TK1, TX1, TX2, and Nano L4T - December 2019",N/A,NVIDIA,High,"CVE-2019-5699, CVE-2019-5700, CVE-2018-6268, CVE-2018-6240, CVE-2018-6271, CVE-2018-6267",https://nvidia.custhelp.com/app/answers/detail/a_id/4910,03 Dec 2019,03 Dec 2019
Security Bulletin: NVIDIA GeForce Experience - November 2019,N/A,NVIDIA,High,"CVE-2019-5701, CVE-2019-2019-5689, CVE-2019-5695",https://nvidia.custhelp.com/app/answers/detail/a_id/4860,06 Nov 2019,06 Nov 2019
"Security Bulletin: NVIDIA NVFlash, GPUModeSwitch Tool - November 2019",N/A,NVIDIA,Medium,CVE-2019-5688,https://nvidia.custhelp.com/app/answers/detail/a_id/4928,06 Nov 2019,14 Nov 2019
Security Bulletin: NVIDIA SHIELD TV - October 2019,N/A,NVIDIA,High,"CVE-2019-5699, CVE-2019-5700",https://nvidia.custhelp.com/app/answers/detail/a_id/4875,07 Oct 2019,07 Oct 2019
Security Bulletin: NVIDIA SHIELD TV - August 2019,N/A,NVIDIA,Critical,"CVE-2019-5679, CVE-2018-6267, CVE-2018-6268, CVE-2018-6269, CVE-2019-5680, CVE-2019-5681, CVE-2019-5682, CVE-2018-6241, CVE-2017-6275, CVE-2018-6240",https://nvidia.custhelp.com/app/answers/detail/a_id/4804,02 Aug 2019,23 Sep 2019
Security Bulletin: NVIDIA GPU Display Driver - August 2019,N/A,NVIDIA,High,"CVE-2019-5683, CVE-2019-5684, CVE-2019-5685, CVE-2019-5686, CVE-2019-5687",https://nvidia.custhelp.com/app/answers/detail/a_id/4841,02 Aug 2019,29 Aug 2019
Security Bulletin: NVIDIA Jetson TX1 and Jetson Nano L4T - July 2019,N/A,NVIDIA,High,CVE-2019-5680,https://nvidia.custhelp.com/app/answers/detail/a_id/4835,18 Jul 2019,29 Jul 2019
